token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
296,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,131,866.6745032772563,False,214.23270813404844,False,,,296
300,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,134,1326.9549189725512,False,226.93049558039985,False,,,300
301,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,132,860.137510621392,False,483.1676339771479,False,,,301
306,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,135,2161.074873686161,False,24.63318312855205,True,22.0,24.63318312855205,306
310,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,137,1111.3233353635364,False,417.1064487647876,False,122.0,15.110351948295593,310
311,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,135,1120.0668501556247,False,490.40651354349154,False,,,311
316,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,142,1157.9451242733749,False,509.5745479185914,False,,,316
321,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,146,687.2263923701967,False,105.5549280085642,False,,,321
326,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,126,2161.826138106501,False,620.5165660586805,False,,,326
331,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,133,1382.3732683975722,False,641.2800956692893,False,,,331
336,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,1348.555555575376,False,597.7582675304543,False,,,336
341,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,147,2100.953644947774,False,582.1552801675982,False,127.0,38.47722484597054,341
346,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,152,2041.6703323527777,False,554.6601032038253,False,,,346
350,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,137,1206.6462747071005,False,384.5665590022211,False,,,350
351,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,910.8583666707729,False,393.5587273608841,False,,,351
356,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,129,554.4212023113366,False,411.89044523211135,False,,,356
361,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,126,1562.1271902949163,False,453.29333010163214,False,,,361
366,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,119,1580.4337414301965,False,448.17430388885873,False,,,366
371,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,107,1203.7541955446716,False,441.5170975870403,False,,,371
376,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,104,1165.4147647181148,False,33.46243989006533,True,2.0,12.807995745749013,376
381,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,108,1186.5853465118691,False,12.864052687397322,True,14.0,12.864052687397322,381
386,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,123,1739.9983143190402,False,437.896731514097,False,64.0,19.056455134915648,386
387,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,124,1749.5043032384565,False,11.455529190090122,True,4.0,11.455529190090122,387
391,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,1468.6284335990222,False,494.57966940539086,False,,,391
396,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,147,704.6446259973131,False,511.605741173548,False,,,396
401,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,657.8984952117341,False,528.848159013756,False,,,401
405,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,142,647.6738115691833,False,506.8425549936312,False,,,405
406,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,145,638.7522065909018,False,516.6511969580483,False,,,406
411,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,135,2032.3149902408163,False,570.7252416949391,False,,,411
416,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,2053.2500309185525,False,528.3118396936975,False,,,416
421,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,146,2160.752353304291,False,520.3860503237428,False,,,421
426,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,136,2180.351965591429,False,507.3338449905406,False,,,426
431,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,131,1668.6383957276478,False,604.0953093449966,False,,,431
434,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,143,1559.960669513792,False,835.789434586253,False,,,434
436,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,147,2236.1388877053864,False,561.5194672888637,False,,,436
441,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,146,2304.696419293574,False,507.7740478163093,False,,,441
446,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,134,867.7341459538661,False,712.0044475311521,False,,,446
450,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,136,2470.6735517745165,False,545.7967539691618,False,,,450
451,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,134,1828.048020392965,False,543.1452931635603,False,,,451
456,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,2505.688392591206,False,440.7646486659891,False,,,456
461,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,134,746.3268418910778,False,239.47967447581703,False,,,461
466,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,129,2370.6205353669197,False,449.9043816786569,False,,,466
471,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,133,2493.409614459741,False,257.12423443260707,False,,,471
474,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,125,2419.629893026636,False,76.6063358441765,False,,,474
476,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,137,256.59715315267795,False,20.5536231608308,True,17.0,20.5536231608308,476
481,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,141,2041.8398723734667,False,31.27622673898626,True,2.0,31.27622673898626,481
482,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,2046.1866502453609,False,31.76542721799197,True,5.0,13.126117977139645,482
486,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,136,778.3228240796283,False,29.97380956798691,True,2.0,29.97380956798691,486
491,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,129,109.49760986283496,False,40.88315772816771,False,,,491
494,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,122,2370.003776516973,False,48.3373283724192,False,,,494
496,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,121,1373.3046119636097,False,68.05207831090016,False,69.0,17.740574900845523,496
501,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,114,1390.78324453099,False,8.677926862151223,True,38.0,8.677926862151223,501
503,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,115,2265.364289886883,False,31.253458854917834,True,35.0,31.253458854917834,503
506,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,114,1408.2991069263044,False,44.99229645606101,False,65.0,31.301748387090395,506
511,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,95,1969.6657090049323,False,12.652706327353478,True,17.0,12.652706327353478,511
516,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,112,388.24369307145497,False,33.93344802551496,True,2.0,33.93344802551496,516
521,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,105,1360.6632553775837,False,37.59273079332692,True,21.0,37.59273079332692,521
526,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,123,1791.9840233814364,False,40.430737986077,False,97.0,37.09728850001139,526
531,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,133,52.25733266847331,False,36.3730824977982,True,5.0,36.3730824977982,531
533,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,1865.6136395628896,False,70.93889371073242,False,,,533
536,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,147,602.698952912004,False,72.57024024045764,False,,,536
541,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,132,1682.6679115693355,False,127.26164541150614,False,,,541
546,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,101,38.952104710276856,True,4.344291767816918,True,1.0,4.344291767816918,546
551,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,90,1250.6735961045024,False,19.291946101372677,True,22.0,19.291946101372677,551
